Atividade,Assunto,Horario da Coleta,Horas,Minutos,Mês,Dia
Estudo,Python,11:57:56,2 ,50,ago,14
Estudo,C++,11:38:50,1 ,50,ago,15
Web Dev,Php,11:43:53,2 ,59,ago,16
Estudo,Julia,11:53:04,2 ,57,ago,19
Estudo,Java,11:58:50,1 ,57,ago,20
Manutencao,Atom IDE,11:06:37,1 ,25,ago,21
Desenvolvimento,Estatistica,13:49:42,1 ,33,ago,21
Planejamento,Aula de Ingles,16:16:43,1 ,39,ago,21
Aula,Ingles,18:14:33,1 ,8 ,ago,21
Manutencao,IDE Eclipse C++,09:55:48,1 ,57,ago,22
Tarefa,C++,11:55:09,1 ,4 ,ago,22
Desenvolvimento,Estatistica,13:43:23,1 ,37,ago,22
Tarefa,Orientacao a Objetos,15:42:49,0 ,57,ago,22
Planejamento,Ingles,16:47:48,1 ,28,ago,22
Aula,Ingles,18:18:29,3 ,40,ago,22
Tarefa,Engenharia de Requisitos,12:12:40,1 ,9 ,ago,23
Desenvolvimento,Estatistica,13:38:12,0 ,27,ago,23
Tarefa,Engenharia de Requisitos,14:14:36,2 ,29,ago,23
Tarefa,Estatistica,17:51:29,3 ,27,ago,23
Tarefa,Orientacao a Objetos,12:19:23,0 ,51,ago,24
Desenvolvimento,Estatistica,13:32:07,1 ,47,ago,24
Tarefa,Orientacao a Objetos,15:21:37,0 ,49,ago,24
Desenvolvimento,Estatistica,16:18:39,0 ,30,ago,24
Desenvolvimento,Estatistica,19:18:25,1 ,25,ago,24
Estudo,Ruby on Rails,16:39:04,1 ,21,ago,25
Planejamento,Estudos,19:37:40,0 ,45,ago,25
Tarefa,Estatistica,21:49:14,0 ,41,ago,26
Planejamento,Estudos,09:19:16,2 ,28,ago,26
Estudo,Estatistica,11:49:07,0 ,51,ago,26
Estudo,Estatistica,16:10:38,0 ,12,ago,26
Planejamento,Ingles,16:24:09,1 ,31,ago,26
Aula,Ingles,18:12:25,2 ,1 ,ago,26
Estudo,Java,11:06:30,0 ,27,ago,27
Desenvolvimento,Julia,12:32:27,2 ,14,ago,27
Desenvolvimento,Julia,15:53:44,2 ,25,ago,27
Estudo,Python,11:57:37,3 ,4 ,ago,28
Estudo,MySQL,16:44:26,3 ,5 ,ago,28
Estudo,C++,11:51:50,1 ,58,ago,29
Estudo,Ruby on Rails,15:42:54,2 ,10,ago,29
Aula,Ingles,18:00:25,0 ,32,ago,29
Planejamento,Tarefa,09:58:31,2 ,25,ago,30
Estudo,Julia,12:24:49,1 ,33,ago,30
Estudo,MySQL,15:34:19,1 ,50,ago,30
Tarefa,Projeto Integrador,18:36:10,1 ,28,ago,30
Tarefa,Projeto Integrador,10:37:06,1 ,37,ago,31
Tarefa,Estatística,12:25:11,3 ,16,ago,31
Tarefa,Estatística,16:03:36,2 ,27,ago,31
Tarefa,Orientacao a Objetos,21:15:41,0 ,58,set,1 
Tarefa,Orientacao a Objetos,13:04:38,1 ,30,set,1 
Tarefa,Banco de Dados,14:50:39,2 ,4 ,set,1 
Tarefa,Banco de Dados,22:21:08,3 ,0 ,set,2 
Estudo,MySQL,11:42:37,1 ,14,set,2 
Estudo,MySQL,16:13:07,1 ,13,set,2 
Aula,Ingles,18:13:55,2 ,58,set,2 
Estudo,Java,11:28:18,0 ,27,set,3 
Tarefa,Estatistica,11:16:35,1 ,53,set,4 
Tarefa,Estatistica,14:46:03,0 ,27,set,4 
Planejamento,Ingles,16:30:23,1 ,13,set,4 
Aula,Ingles,15:55:36,0 ,35,set,4 
Tarefa,Estatistica,08:53:20,2 ,6 ,set,5 
Tarefa,Estatistica,11:27:46,1 ,30,set,5 
Tarefa,Engenharia de Requisitos,15:32:12,1 ,30,set,5 
Tarefa,Controle de Versao,14:02:12,2 ,22,set,5 
Tarefa,Engenharia de Requisitos,11:33:50,1 ,10,set,6 
Aula,Ingles,17:59:36,0 ,59,set,6 
Tarefa,Engenharia de Requisitos,10:31:45,1 ,28,set,7 
Tarefa,Engenharia de Requisitos,14:06:37,2 ,13,set,7 
Tarefa,Orientacao a Objetos,17:25:58,2 ,24,set,7 
Tarefa,Orientacao a Objetos,20:06:05,1 ,57,set,7 
Tarefa,Sistemas em Computacao,10:56:11,0 ,56,set,8 
Tarefa,Orientacao a Objetos,12:33:22,0 ,57,set,8 
Tarefa,Sistemas em Computacao,16:46:03,2 ,19,set,8 
Desenvolvimento,Projeto Integrador,20:32:36,2 ,48,set,8 
Estudo,MySQL,11:59:08,2 ,3 ,set,9 
Estudo,C++,15:06:26,1 ,41,set,9 
Estudo,Java,12:18:19,0 ,48,set,10
Estudo,Ruby on Rails,16:15:59,1 ,6 ,set,10
Aula,Ingles,17:59:36,2 ,55,set,10
Estudo,Python,11:55:19,1,20,set,11